artist,title
The Barrio Boyzz,How We Roll
Yvette Michele,Everyday & Everynight
Deborah Cox,Who Do U Love
Joe,"All The Things (Your Man Won't Do) (From ""Don't Be A Menace..."")"
Junior M.A.F.I.A. Featuring The Notorious B.I.G.,Get Money
Groove Theory,Keep Tryin'
H-Town,"A Thin Line Between Love & Hate (From ""A Thin Line..."")"
Erick Sermon,Welcome
Chantay Savage,I Will Survive
Mona Lisa Featuring Lost Boyz,"Can't Be Wasting My Time (From ""Don't Be A Menace..."")"
Das EFX (Featuring Mobb Deep),Microphone Master
Art N' Soul,Ever Since You Went Away
Randy Crawford,Give Me The Night
George Michael,Jesus To A Child
Nonchalant,5 O'Clock
Sa-Deuce,Don't Waste My Time
Jesse Powell,All I Need
R. Kelly Featuring Ronald Isley,Down Low (Nobody Has To Know)
D'Angelo,Lady
Pure Soul,Stairway To Heaven
"Gerald Levert & Eddie Levert, Sr.",Wind Beneath My Wings
Domino,Physical Funk
Xscape Featuring MC Lyte,Can't Hang/Do You Want To
LL Cool J,Doin It
MC Lyte Featuring Xscape,"Keep On, Keepin' On (From ""Sunset Park"")"
Busta Rhymes,Woo-Hah!! Got You All In Check/Everything Remains Raw
Patra Duet With Aaron Hall,Scent Of Attraction
A Few Good Men,Have I Never
Coolio,"1, 2, 3, 4 (Sumpin' New)"
Fat Joe,Envy/Firewater
Whitney Houston & CeCe Winans,"Count On Me (From ""Waiting To Exhale"")"
Lost Boyz,Renee
Quincy Jones Feat. Babyface & Tamia With Portrai,Slow Jams
Silk,Don't Rush
Horace Brown,One For The Money
Terry Ellis,What Did I Do To You?
Goodie Mob,Soul Food
The Click,Scandalous
Mariah Carey,Always Be My Baby
The Isley Brothers,"Let's Lay Together (From ""Don't Be A Menace..."")"
Jay-Z Featuring Foxxy Brown,Ain't No Nigga/Dead Presidents
Lionel Richie,Don't Wanna Lose You
Faith Evans,Ain't Nobody/Kissing You
Genius/GZA Featuring Method Man,Shadowboxin'
SWV,You're The One
Skin Deep Featuring Li'l Kim Of Junior M.A.F.I.A.,No More Games
Luke,"Scarred (From ""Eddie"")"
Kris Kross,Live And Die For Hip Hop
Men Of Vizion,House Keeper
Total,Kissin' You
Immature,Please Don't Go
Quad City DJ's,C'mon N' Ride It (The Train)
Geto Boys Featuring Flaj,"The World Is A Ghetto (From ""Original Gangstas"")"
Bone Thugs-N-Harmony,Tha Crossroads
Monifah,You
Case Featuring Foxxy Brown,"Touch Me Tease Me (From ""The Nutty Professor"")"
Crucial Conflict,Hay
Kenny Lattimore,Never Too Busy
DJ Kool,Let Me Clear My Throat
Jodeci,Get On Up
Puff Johnson,Forever More
Celine Dion,"Because You Loved Me (From ""Up Close & Personal"")"
Quindon,It's You That's On My Mind
Ladae!,Party 2 Nite
George Michael,Fastlove
112 Featuring The Notorious B.I.G.,Only You
Donell Jones,In The Hood
Toni Braxton,You're Makin' Me High/Let It Flow
Monica,Why I Love You So Much/Ain't Nobody
Michael Jackson,They Don't Care About Us
Kino Watson,Bring It On
2Pac Featuring K-Ci And JoJo,How Do U Want It/California Love
Coolio,"It's All The Way Live (Now) (From ""Eddie"")"
Keith Sweat,Twisted
Tevin Campbell,Back To The World
Nas,If I Ruled The World
Mona Lisa,You Said
Montell Jordan Featuring Slick Rick,"I Like (From ""The Nutty Professor"")"
Mista,Blackberry Molasses
Solo,He's Not Good Enough
LL Cool J,Loungin
Ghost Town DJ's,My Boo
Tracy Chapman,Give Me One Reason
Deborah Cox,Where Do We Go From Here
Bahamadia,I Confess
R. Kelly,I Can't Sleep Baby (If I)
Busta Rhymes Featuring Zhane,It's A Party
D'Angelo,Me And Those Dreamin' Eyes Of Mine
Gina Thompson,The Things That You Do
Somethin' For The People,With You
Maxi Priest Featuring Shaggy,That Girl
Eric Benet,"Let's Stay Together (From ""A Thin Line Between Love & Hate"")"
OutKast,Elevators (Me & You)
The Braxtons,"So Many Ways (From ""High School High"")"
Horace Brown,Things We Do For Love
The Tony Rich Project,Like A Woman
Groove Theory,Baby Luv
Whitney Houston,"Why Does It Hurt So Bad (From ""Waiting To Exhale"")"
A+,All I See
Do Or Die (Featuring Twista),Po Pimp
Shades,Tell Me (I'll Be Around)
CeCe Peniston,Movin' On
T-Boz,"Touch Myself (From ""Fled"")"
Maxwell,Ascension (Don't Ever Wonder)
SWV,Use Your Heart
RZA Feat. Method Man & Cappadonna,"Wu-Wear: THe Garment Renaissance (From ""High School High"")"
Az Yet,"Last Night (From ""The Nutty Professor"")"
"Brandy, Tamia, Gladys Knight & Chaka Khan","Missing You (From ""Set It Off"")"
Dru Hill,"Tell Me (From ""Eddie"")"
New Edition,Hit Me Off
Aaliyah,If Your Girl Only Knew
